"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,1299463.0764,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,1546688.9281,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,1590707.559,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,1543216.3475,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,1464256.1283,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,1248853.7005,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,1311696.155,,
"AUS","Australia","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,1416105.4321,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,391892.7465,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,431120.3101,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,409425.2342,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,430068.713,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,441996.1317,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,381817.5659,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,395227.6841,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,417282.9008,,
"AUT","Austria","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,455285.818,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,480951.6295,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,522645.5192,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,496181.2603,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,521642.7144,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,534678.0758,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,462149.6793,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,476056.8331,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,503004.5044,,
"BEL","Belgium","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,542761.0921,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,1613464.4228,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,1788647.906,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,1824288.7574,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,1842628.0058,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,1799268.6959,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,1552521.5129,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,1526953.7916,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,1647120.1754,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,207477.8579,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,227948.3497,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,207376.427,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,209402.445,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,207818.3307,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,186829.9405,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,195090.2724,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,215913.545,,
