"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2011","2011","USD","US Dollar","0","Units",,,73144918,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2012","2012","USD","US Dollar","0","Units",,,71483059,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2013","2013","USD","US Dollar","0","Units",,,67897422,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2014","2014","USD","US Dollar","0","Units",,,61114752,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2015","2015","USD","US Dollar","0","Units",,,54730242,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2016","2016","USD","US Dollar","0","Units",,,25706711,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2017","2017","USD","US Dollar","0","Units",,,34765478,,
"AUS","Australia","EXP","Exports","AUT","Austria","A","Annual","2018","2018","USD","US Dollar","0","Units",,,27169681,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1237897212,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2012","2012","USD","US Dollar","0","Units",,,1434062444,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1049939589,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2014","2014","USD","US Dollar","0","Units",,,915627559,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2015","2015","USD","US Dollar","0","Units",,,835177781,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2016","2016","USD","US Dollar","0","Units",,,638302640,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2017","2017","USD","US Dollar","0","Units",,,889526722,,
"AUS","Australia","EXP","Exports","BEL","Belgium","A","Annual","2018","2018","USD","US Dollar","0","Units",,,719321463,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1288512980,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2012","2012","USD","US Dollar","0","Units",,,1374379463,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1053995699,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2014","2014","USD","US Dollar","0","Units",,,1014606743,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2015","2015","USD","US Dollar","0","Units",,,984218353,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2016","2016","USD","US Dollar","0","Units",,,1185141298,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2017","2017","USD","US Dollar","0","Units",,,1100783741,,
"AUS","Australia","EXP","Exports","CAN","Canada","A","Annual","2018","2018","USD","US Dollar","0","Units",,,1255782398,,
